Район,Год,Количество пожаров,Материальный ущерб (тыс. руб.),Количество пострадавших,Количество ДПФ,Количество добровольцев,Количество выездов добровольцев на пожары,Загорания,Количество обученных добровольцев,Субъект РФ
Беломорский,2015,42,1009,7,32,181,6,0,128,Республика Карелия
Беломорский,2016,38,1150,5,31,183,9,6,135,Республика Карелия
Беломорский,2017,34,262,6,34,220,4,3,173,Республика Карелия
Беломорский,2018,32,240,4,32,214,5,0,185,Республика Карелия
Калевальский,2015,25,1873,2,14,101,12,0,28,Республика Карелия
Калевальский,2016,25,407,10,14,106,6,0,28,Республика Карелия
Калевальский,2017,20,249,3,15,111,5,0,62,Республика Карелия
Калевальский,2018,14,0,0,15,117,0,3,83,Республика Карелия
Кемский,2015,33,170,2,20,86,0,0,76,Республика Карелия
Кемский,2016,30,208,13,22,96,2,0,78,Республика Карелия
Кемский,2017,26,836,4,21,102,2,2,87,Республика Карелия
Кемский,2018,32,10,9,21,130,2,0,90,Республика Карелия
Кондопожский,2015,84,3801,10,49,288,16,0,230,Республика Карелия
Кондопожский,2016,84,2435,11,55,314,16,5,241,Республика Карелия
Кондопожский,2017,74,6851,12,57,328,20,1,261,Республика Карелия
Кондопожский,2018,61,402,7,55,347,9,1,269,Республика Карелия
Костомукша,2015,23,194,2,32,332,8,2,174,Республика Карелия
Костомукша,2016,22,313,2,31,340,5,0,174,Республика Карелия
Костомукша,2017,36,547,3,32,346,7,1,226,Республика Карелия
Костомукша,2018,19,0,0,32,346,4,1,330,Республика Карелия
Лахденпохский,2015,37,237,5,28,154,1,0,125,Республика Карелия
Лахденпохский,2016,33,318,4,30,155,4,0,128,Республика Карелия
Лахденпохский,2017,21,0,6,30,156,1,1,142,Республика Карелия
Лахденпохский,2018,33,202,5,30,156,3,1,152,Республика Карелия
Лоухский,2015,31,171,6,22,148,3,0,77,Республика Карелия
Лоухский,2016,36,270,1,22,153,7,0,77,Республика Карелия
Лоухский,2017,23,340,2,22,155,3,0,88,Республика Карелия
Лоухский,2018,28,1784,3,22,149,1,2,136,Республика Карелия
Медвежьегорский,2015,68,920,10,60,350,0,4,285,Республика Карелия
Медвежьегорский,2016,66,1830,7,63,358,4,2,285,Республика Карелия
Медвежьегорский,2017,45,4500,8,64,358,2,1,305,Республика Карелия
Медвежьегорский,2018,26,0,5,67,367,3,1,315,Республика Карелия
Муезерский,2015,25,0,8,37,228,9,0,163,Республика Карелия
Муезерский,2016,27,550,1,40,255,12,0,183,Республика Карелия
Муезерский,2017,23,20,6,42,265,8,3,217,Республика Карелия
Муезерский,2018,22,200,2,45,299,10,3,232,Республика Карелия
Олонецкий,2015,53,547,11,40,189,5,0,176,Республика Карелия
Олонецкий,2016,42,565,7,39,196,6,0,179,Республика Карелия
Олонецкий,2017,33,498,9,39,192,1,0,182,Республика Карелия
Олонецкий,2018,34,1,3,48,212,5,1,186,Республика Карелия
Петрозаводск,2015,417,1292,37,172,3125,0,0,2788,Республика Карелия
Петрозаводск,2016,372,2855,41,202,3504,0,0,2838,Республика Карелия
Петрозаводск,2017,393,840,32,213,3721,0,0,3090,Республика Карелия
Петрозаводск,2018,226,1691,24,201,3849,0,0,3258,Республика Карелия
Питкярантский,2015,35,0,5,33,303,2,3,128,Республика Карелия
Питкярантский,2016,36,84,6,29,301,2,1,128,Республика Карелия
Питкярантский,2017,35,50,4,29,255,3,0,184,Республика Карелия
Питкярантский,2018,23,310,3,29,247,0,0,243,Республика Карелия
Прионежский,2015,106,697,12,45,219,8,0,189,Республика Карелия
Прионежский,2016,81,2575,10,45,227,5,0,194,Республика Карелия
Прионежский,2017,92,2940,9,46,229,3,1,209,Республика Карелия
Прионежский,2018,68,9210,6,50,292,3,5,219,Республика Карелия
Пряжинский,2015,64,1124,5,21,195,5,2,152,Республика Карелия
Пряжинский,2016,66,1376,15,24,194,4,1,152,Республика Карелия
Пряжинский,2017,44,1322,4,24,190,6,0,154,Республика Карелия
Пряжинский,2018,41,0,6,27,142,6,0,176,Республика Карелия
Пудожский,2015,49,355,14,71,379,7,1,336,Республика Карелия
Пудожский,2016,44,7535,5,64,369,5,1,336,Республика Карелия
Пудожский,2017,49,2458,18,65,378,5,1,352,Республика Карелия
Пудожский,2018,37,500,1,62,365,7,0,352,Республика Карелия
Сегежский,2015,50,9228,6,50,427,6,2,392,Республика Карелия
Сегежский,2016,58,1111,5,61,460,17,2,392,Республика Карелия
Сегежский,2017,59,74,7,63,454,6,2,450,Республика Карелия
Сегежский,2018,50,54,5,64,515,8,3,497,Республика Карелия
Сортавальский,2015,59,222,7,45,216,5,2,198,Республика Карелия
Сортавальский,2016,58,966,5,54,254,1,2,204,Республика Карелия
Сортавальский,2017,52,65,4,54,263,4,2,237,Республика Карелия
Сортавальский,2018,44,2647,2,54,259,3,2,239,Республика Карелия
